s_m,x_m,y_m,heading_rad,curvature_1_m,left_width_m,right_width_m,left_x_m,left_y_m,right_x_m,right_y_m,projection_s_error_m,projection_lateral_error_m,projection_reconstruction_error_m
827.94346116794031,-132.46193342286568,117.05570729589515,-2.4922370249358106,0.018203664984441436,8,8,-127.62454697053236,110.68391851166963,-137.29931987519899,123.42749608012066,0,8.2156503822261584e-15,0
828.48283801560672,-132.88990205686167,116.72744574184374,-2.4822920694017059,0.018678456422476446,8,8,-127.98938870488183,110.40407884697932,-137.79041540884151,123.05081263670816,0,8.659739592076221e-15,0
829.02221486327323,-133.31451775609116,116.39490740490758,-2.4720822486167044,0.019188388557505487,8,8,-128.34970049660237,110.12190257628819,-138.27933501557996,122.66791223352698,0,5.773159728050814e-15,0
829.56159171093952,-133.73574595014856,116.05792947680595,-2.4615852867547066,0.019736613178312518,8,8,-128.70535593213742,109.83738478468342,-138.76613596815969,122.27847416892848,0,5.6621374255882984e-15,0
830.10096855860604,-134.15331540601275,115.71652383597673,-2.4507827683574517,0.020326335341487752,8,8,-129.05602265277361,109.55068191554317,-139.2506081592519,121.88236575641029,0,3.6637359812630166e-15,0
830.64034540627233,-134.56707847107768,115.37059178372772,-2.4396511588882017,0.020961302790942993,8,8,-129.40146719746377,109.26187177296335,-139.73268974469158,121.47931179449209,0,2.2204460492503131e-16,0
831.17972225393873,-134.97695968348515,115.01995495194811,-2.4281623427122927,0.021645849832329356,8,8,-129.74150890075626,108.97098354338422,-140.21241046621404,121.06892636051199,0,4.6629367034256575e-15,1.4210854715202004e-14
831.71909910160525,-135.38198626255618,114.66391237731996,-2.4126223566103424,0.028830066806310378,8,8,-130.05317047640136,108.69702689851052,-140.710802048711,120.6307978561294,0,3.6637359812630166e-15,0
832.25847594927154,-135.78150567912854,114.30154883119481,-2.3973026898490355,0.027980949543861246,8,8,-130.36190807484928,108.4169960183049,-141.2011032834078,120.18610164408472,0,3.8857805861880479e-15,0
832.79785279693806,-136.17553263549664,113.93317528281626,-2.3824304144270427,0.027167871197474065,8,8,-130.66902092188906,108.12987202106072,-141.68204434910422,119.73647854457181,0,8.8817841970012523e-16,0
833.33722964460446,-136.56408994038034,113.55909450330138,-2.3679882798434995,0.026389903848340654,8,8,-130.97434330457915,107.83591946250895,-142.15383657618153,119.28226954409381,0,3.3306690738754696e-15,0
833.87660649227087,-136.94727195686963,113.1795315009749,-2.3539569547261214,0.025645900347676085,8,8,-131.27777446662668,107.53534881362957,-142.61676944711257,118.82371418832024,0,6.6613381477509392e-15,0
834.41598333993727,-137.32519614092587,112.79467382061654,-2.3403169678517632,0.024934628408562618,8,8,-131.57924185478282,107.22834564653675,-143.07115042706891,118.36100199469632,0,1.0658141036401503e-14,0
834.95536018760367,-137.69791059938797,112.40476654292424,-2.3270520282055829,0.024254961920375805,8,8,-131.87862698901401,106.91514558496795,-143.51719420976193,117.89438750088053,0,6.6613381477509392e-16,0
835.49473703527008,-138.06545605861228,112.01005470009716,-2.3141466868952971,0.023605768714515314,8,8,-132.17581357043667,106.59598863460843,-143.95509854678789,117.42412076558588,0,2.6645352591003757e-15,1.4210854715202004e-14
836.03411388293648,-138.42798282878047,111.61065399092612,-2.3015822897109657,0.02298572483869837,8,8,-132.47078252930274,106.27101312361094,-144.38518312825821,116.95029485824131,0,7.9936057773011271e-15,0
836.57349073060288,-138.78551698852442,111.20680306547277,-2.2893451557848343,0.022393735779814808,8,8,-132.76342245162201,105.94045923045687,-144.80761152542684,116.47314690048867,0,1.5543122344752192e-15,0
837.11286757826929,-139.13813254138151,110.79867930466297,-2.2774205095640605,0.021828639721364243,8,8,-133.05366836305203,105.60451953982849,-145.22259671971099,115.99283906949745,0,6.106226635438361e-15,0
837.65224442593569,-139.48596136556807,110.38638034338349,-2.2657922325713664,0.021289211821100589,8,8,-133.34151077623395,105.26332198384556,-145.6304119549022,115.50943870292143,0,2.886579864025407e-15,0
838.1916212736021,-139.82897468527565,109.97018429879978,-2.254450133434422,0.020774506132143766,8,8,-133.6268143226597,104.91714493259697,-146.03113504789161,115.02322366500259,0,7.7715611723760958e-15,0
