schema_version,time_s,step,position_x_m,position_y_m,yaw_rad,yaw_rate_rad_s,vx_m_s,vy_m_s,speed_m_s,steering_angle_rad,throttle,brake,front_slip_angle_rad,rear_slip_angle_rad,front_lateral_force_n,rear_lateral_force_n,longitudinal_accel_m_s2,lateral_accel_m_s2,yaw_accel_rad_s2,body_longitudinal_force_n,body_lateral_force_n,yaw_moment_nm,front_normal_load_n,rear_normal_load_n,drive_force_n,brake_force_n,drag_force_n,rolling_resistance_n,downforce_n,traction_limit_n
2,1.1349999999999978,227,22.597853625958685,1.5607735659410653,0.15159052282977226,0.14327656936531402,19.950438098251539,-0.062091886438169715,19.950534722521297,0.025000000000000001,0,0,0.019135342629004307,0.014242862826500172,2296.2411154805168,1851.5721674450224,-0.039586240192625625,2.8600660309999237,-0.00021295506348042182,-57.400048279307157,4147.0957449498892,-0.53238765870105453,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1399999999999977,228,22.696502858935581,1.5755655699754108,0.15230690301829949,0.1432755067577883,19.950195690719706,-0.062083725152141653,19.950292290764562,0.025000000000000001,0,0,0.019134928878871915,0.014242544321963802,2296.1914654646298,1851.5307618552943,-0.039585384247036455,2.8600032447304109,-0.00021210084838157854,-57.398807158202864,4147.0047048590959,-0.53025212095394636,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1449999999999976,229,22.795140265833162,1.5904280962365764,0.15302327790414952,0.14327444823196631,19.949953293623807,-0.062075597610139664,19.950049869551457,0.025000000000000001,0,0,0.019134516557392955,0.014242227810387241,2296.1419868871549,1851.4896153503414,-0.039584531256974087,2.8599407553364955,-0.00021132157342349274,-57.397570322612424,4146.9140952379184,-0.52830393355873184,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1499999999999975,230,22.893765796393318,1.6053611346938115,0.15373964750681407,0.14327339342506332,19.949710906924135,-0.062067502751237832,19.949807458838933,0.025000000000000001,0,0,0.019134105634160691,0.014241913210521829,2296.0926760992829,1851.4487173678378,-0.039583681159534569,2.8598785530181803,-0.00021061251379769601,-57.396337681325122,4146.8239018763616,-0.52653128449424003,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1549999999999974,231,22.992379400365444,1.6203646752876946,0.15445601184402893,0.14327234199730376,19.949468530582163,-0.062059439528049515,19.949565058585176,0.025000000000000001,0,0,0.01913369607800423,0.014241600443580006,2296.0435293605078,1851.4080576654007,-0.039582833890233135,2.8598166281328998,-0.00020996918889632071,-57.395109140838045,4146.734110792705,-0.52492297224080176,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1599999999999973,232,23.090981027506487,1.6354387079299009,0.1551723709318861,0.14327129363072652,19.949226164560535,-0.062051406908151745,19.949322668749581,0.025000000000000001,0,0,0.019133287857134754,0.014241289433214043,2295.9945428561705,1851.3676263178256,-0.039581989383306655,2.8597549712057093,-0.00020938735182580786,-57.393884605794646,4146.6447082482782,-0.52346837956451964,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1649999999999971,233,23.189570627580995,1.6505832225029733,0.15588872478493987,0.14327024802804181,19.948983808823066,-0.062043403875345321,19.94908028929277,0.025000000000000001,0,0,0.019132880939280242,0.014240980105490566,2295.9457127136288,1851.3274137137737,-0.039581147571992381,2.8596935729381445,-0.00020886297927190752,-57.392663979388956,4146.5556807603098,-0.52215744817976883,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.169999999999997,234,23.288148150361163,1.6657982088600976,0.1566050734163075,0.143269204911538,19.948741463334709,-0.062035429430762082,19.948837920176555,0.025000000000000001,0,0,0.019132475291809448,0.014240672388861272,2295.8970350171339,1851.2874105519654,-0.039580308388784458,2.8596324242158579,-0.00020839226170423899,-57.39144716373746,4146.467015112994,-0.52098065426059748,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1749999999999969,235,23.386713545626879,1.6810836568248833,0.15732141683776441,0.14326816402203635,19.948499128061552,-0.062027482593830112,19.948595561363948,0.025000000000000001,0,0,0.019132070881845757,0.014240366214130273,2295.848505821491,1851.2476078369355,-0.039579471765669345,2.859571516115107,-0.00020797159391545392,-57.39023406022055,4146.3786983669052,-0.51992898478863481,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
2,1.1799999999999968,236,23.485266763165775,1.6964395561911481,0.15803775505983442,0.14326712511789252,19.948256802970803,-0.062019562403107159,19.948353212819139,0.025000000000000001,0,0,0.019131667676371509,0.014240061514418437,2295.800121164581,1851.2079968743967,-0.039578637634341773,2.859510839908189,-0.00020759756588740856,-57.389024569795573,4146.2907178668738,-0.51899391471852141,7871.5878125000008,6348.0546875,0,-0,-0,-0,0,17063.571
